Index,Time,mtr.state.i_dq.v1,mtr.state.pos_spd_e.v1,mtr.reference.u_dq.v1,mtr.state.pos_spd_e.v2
117,0.116965,0.0483160987,4.68560457,0.0165653359,0.422993392
118,0.117969,0.0449815542,4.6856389,0.0345712937,0.244076177
119,0.118965,0.0452825837,4.68565798,0.0468021818,0.140837133
120,0.119965,0.0511891507,4.68567324,0.0477180295,0.0812660158
121,0.120965,0.0554301068,4.68568087,0.0417220183,0.0468922183
122,0.121964,0.0572495461,4.68568468,0.0299904346,0.027057806
123,0.122965,0.0546772555,4.68996096,0.0199407078,45.5475769
124,0.123982,0.0542223528,4.69253588,0.00837524608,26.2819195
125,0.124980,0.0548301451,4.69409227,0.00582871214,15.165226
126,0.125965,0.0539228581,4.69503069,0.00468375487,8.75065708
127,0.126969,0.0451348983,4.69559145,0.0167680867,5.04931498
128,0.127965,0.0490719266,4.69593477,0.023114536,2.91356206
129,0.128964,0.0467985012,4.69614077,0.031053694,1.68118715
130,0.129965,0.050132148,4.69626665,0.0321266241,0.970080674
131,0.130965,0.0572519861,4.69633913,0.0296035092,0.559757173
132,0.131966,0.049224887,4.69638872,0.0312753581,0.322991788
133,0.132965,0.0499795005,4.70068789,0.0309633352,45.718338
134,0.133966,0.0519490354,4.70327806,0.0267883502,26.3804512
135,0.134982,0.0555842593,4.70484209,0.0222116634,15.2220802
136,0.135966,0.052554816,4.70578814,0.0138149178,8.78346348
137,0.136981,0.0519491509,4.70635653,0.0127800973,5.06824493
138,0.137964,0.046194803,4.71096849,0.0136016021,48.4564476
139,0.138968,0.0490718223,4.71374941,0.0159690101,27.9603996
140,0.139965,0.0508893058,4.7154355,0.0165338982,16.1337452
141,0.140968,0.0511921868,4.7164464,0.016591901,9.30951405
142,0.141964,0.0528575331,4.72132921,0.0164898057,50.9037514
143,0.142969,0.0522522964,4.72427034,0.0165337436,29.3725452
144,0.143965,0.0481621288,4.72604799,0.0191344731,16.9485817
145,0.144964,0.0480115637,4.72711992,0.0205535199,9.7796917
146,0.145965,0.0478614569,4.73203707,0.0201250818,51.1750526
147,0.146967,0.0502839498,4.7350049,0.0173570849,29.5290928
148,0.147982,0.0511919968,4.73679781,0.0138753727,17.0389137
149,0.148964,0.0504336208,4.73786974,0.0116814468,9.83181477
150,0.149969,0.0536200739,4.74279833,0.00773029868,51.2051277
151,0.150964,0.0493730269,4.74576616,0.00940353703,29.5464458
152,0.151969,0.0495254286,4.74755526,0.00768984156,17.0489273
153,0.152965,0.0458911732,4.74863482,0.0116843842,9.83759308
154,0.153969,0.0471039899,4.75355959,0.0118241282,51.2084656
155,0.154965,0.0487706624,4.75652742,0.0111562759,29.5483723
156,0.155965,0.0517982766,4.75832033,0.00888233166,17.0500393
157,0.156966,0.0530059449,4.76367235,0.00704258867,55.3843155
158,0.157967,0.0501315892,4.7669034,0.00677058147,31.9579258
159,0.158982,0.0496659502,4.7688489,0.00289666466,18.4404011
160,0.159964,0.05466526,4.77429628,0.00109893293,56.1724663
161,0.160969,0.0457305834,4.77758074,0.00802317075,32.4127045
162,0.161965,0.0455913469,4.77956057,0.0139340684,18.7028198
163,0.162969,0.0522590838,4.78075457,0.0155190248,10.7919245
164,0.163967,0.0516526848,4.785748,0.0182576254,51.7591324
165,0.164968,0.0536192842,4.78876162,0.012221762,29.8661194
166,0.165967,0.0514992215,4.79057741,0.00495324703,17.2333851
167,0.166969,0.0413792506,4.79594469,-0.00121629855,55.4759903
168,0.167968,0.0563375391,4.79918337,-0.0125364112,32.0108261
169,0.168969,0.0555760823,4.80113649,-0.0185163822,18.4709263
170,0.169965,0.0499671698,4.80231524,-0.0199569296,10.6581163
171,0.170981,0.0539086796,4.80302477,-0.0141485324,6.14995956
172,0.171968,0.044676695,4.80345201,-0.00219412195,3.54865742
173,0.172965,0.0454382226,4.80798388,0.00936565269,47.5796127
174,0.173969,0.0472601168,4.8107152,0.0204844698,27.4544468
175,0.174965,0.047116641,4.81236696,0.0264272727,15.8417988
176,0.175969,0.0527262017,4.81335878,0.0256154668,9.14105415
177,0.176966,0.052715499,4.81823015,0.00957237091,50.8065453
178,0.177965,0.0595165193,4.82116747,-0.000489237194,29.3164558
179,0.178967,0.056646172,4.8229413,-0.0147160245,16.9162178
180,0.179965,0.0520961881,4.82400942,-0.0283836368,9.76101685
181,0.180967,0.0519411862,4.8246541,-0.0404802375,5.63231421
182,0.181965,0.047546085,4.8250432,-0.0356189944,3.24996495
183,0.182981,0.0425434671,4.8252759,-0.0198693089,1.87529886
184,0.183968,0.0410433784,4.82541704,0.00127961335,1.08208728
185,0.184964,0.0419608802,4.82550478,0.023594141,0.624387324
186,0.185969,0.0451534428,4.82555819,0.0375619568,0.360284746
187,0.186965,0.0500010476,4.82558489,0.043390438,0.207891956
188,0.187965,0.0593862571,4.82560396,0.0329395011,0.119958073
189,0.188965,0.0614813194,4.82561541,0.00786012225,0.0692183524
190,0.189979,0.061946325,4.82562304,-0.018727228,0.0399404578
191,0.190968,0.0625288412,4.82562685,-0.0394144431,0.0230464917
192,0.191964,0.061468821,4.82563066,-0.0498239957,0.013298315
193,0.192969,0.0472360142,4.82563066,-0.0524401926,0.00767341023
194,0.193979,0.0413291343,4.82136202,-0.0346499234,-45.5275345
195,0.194981,0.0373990089,4.81878328,-0.00918663479,-26.2703552
196,0.195968,0.0345400795,4.8172307,0.0200770535,-15.1585531
197,0.196969,0.0374221466,4.81628847,0.0486840121,-8.7468071
198,0.197969,0.0454610847,4.81572771,0.0613063686,-5.04709339
199,0.198966,0.0522625782,4.81538439,0.0566749051,-2.91228008
200,0.199965,0.0578607693,4.81518221,0.0356828794,-1.68044746
201,0.200967,0.0668050721,4.81505632,0.00129922875,-0.969653904
202,0.201966,0.0620899536,4.81071138,-0.0330824703,-46.0914726
203,0.202968,0.0620796345,4.80808687,-0.0616666749,-26.5957584
204,0.203966,0.0578190535,4.80650759,-0.0740274638,-15.3463173
205,0.204967,0.0405517742,4.80128145,-0.0597834699,-54.3871155
206,0.205978,0.0390401408,4.79813051,-0.0275646057,-31.3825207
207,0.206968,0.0269547161,4.79623079,0.0220044162,-18.1083813
208,0.207966,0.0292470306,4.79508257,0.0663690194,-10.4489202
209,0.208965,0.0418300815,4.79011965,0.0931161493,-51.5612106
210,0.209967,0.0527373217,4.78712511,0.0927491561,-29.7519131
211,0.210966,0.0619699061,4.78531694,0.0674920902,-17.1674862
212,0.211967,0.0719548389,4.77995729,0.0196170323,-55.4379654
213,0.212966,0.0746602416,4.77672243,-0.0331255123,-31.988884
214,0.213967,0.0649605468,4.77050066,-0.0734409466,-64.0043488
215,0.214966,0.0516185164,4.76247835,-0.0876071081,-82.4638367
216,0.215965,0.0402721241,4.75336504,-0.0724938363,-93.1153488
217,0.216982,0.029829096,4.74786806,-0.0312393513,-53.7295341
218,0.217968,0.0248375051,4.74028063,0.0224013533,-76.5350494
219,0.218965,0.0290830657,4.73570299,0.0704661012,-44.1623497
220,0.219964,0.0365078226,4.73294497,0.103407256,-25.4826145
221,0.220966,0.0551342852,4.73127794,0.106479913,-14.70401
222,0.221966,0.0611928403,4.72600222,0.0854138881,-54.0164871
223,0.222967,0.0692161024,4.72282076,0.0411051288,-31.1686611
224,0.223967,0.0707299635,4.71662951,-0.00553848548,-63.5169449
225,0.224968,0.0649763495,4.70862246,-0.044454515,-82.1825867
226,0.225968,0.0549838245,4.69952059,-0.0630272627,-92.953064
227,0.226965,0.0469657555,4.68975878,-0.0545763224,-99.1678543
228,0.227969,0.0277247485,4.67960024,-0.0146138258,-102.753922
229,0.228982,0.0315027572,4.67347383,0.0275328103,-59.2911949
230,0.229967,0.0351275541,4.66550493,0.0714203492,-79.7442474
231,0.230968,0.0405700393,4.65642595,0.0911915675,-91.5460892
232,0.231967,0.0472359285,4.65095186,0.0942219049,-52.8240395
233,0.232969,0.0596590564,4.64337969,0.0804012865,-76.012558
234,0.233967,0.0607266352,4.63453722,0.0508034527,-89.3928223
235,0.234967,0.0681684092,4.62493563,0.0168811549,-97.1135254
236,0.235966,0.0551484227,4.61914492,-0.00482462673,-56.0365677
237,0.236967,0.0540895537,4.61137438,-0.0134560047,-77.8662567
238,0.237965,0.0407754928,4.60242128,-0.00466267951,-90.4765625
239,0.238967,0.0372745618,4.5927434,0.0174116362,-97.7388611
240,0.239967,0.0408987254,4.58263826,0.0335388482,-101.929367
241,0.240965,0.0410303548,4.57653856,0.0560267568,-58.8154106
242,0.241978,0.0487624854,4.56859255,0.0674705729,-79.4697037
243,0.242967,0.0492020994,4.56379747,0.0707257167,-45.8557053
244,0.243968,0.0514683314,4.55663347,0.0661701262,-71.991684
245,0.244966,0.0602619462,4.55231142,0.0577223524,-41.5407295
246,0.245968,0.0549781062,4.54543734,0.0475081019,-69.5018463
247,0.246967,0.0505904779,4.53701448,0.0333771631,-85.6360016
248,0.247969,0.0524207279,4.52766466,0.0344991162,-94.945755
249,0.248980,0.0410028733,4.52202272,0.0346576758,-54.785717
250,0.249968,0.047096774,4.51435137,0.0420758538,-77.1444855
251,0.250965,0.0510256924,4.50972033,0.051635731,-44.5140076
252,0.251969,0.0466386862,4.50693178,0.0554395504,-25.6855278
253,0.252981,0.0445173644,4.50097704,0.0626561642,-60.3530579
254,0.253968,0.0462049693,4.49311113,0.0634125546,-80.3569641
255,0.254964,0.0498193651,4.48836946,0.0653397739,-46.3676758
256,0.255969,0.0510235503,4.48123598,0.0636332706,-72.2870941
257,0.256968,0.0519397706,4.47266054,0.0633725002,-87.2431488
258,0.257969,0.0486142859,4.46321917,0.0618919507,-95.8731079
259,0.258968,0.050133463,4.45752382,0.0599851385,-55.3208199
260,0.259969,0.0521117114,4.44981432,0.0580986924,-77.4532471
261,0.260968,0.0474106893,4.44089556,0.0624360442,-90.2241364
262,0.261969,0.0480123237,4.43551302,0.0686469972,-52.061245
263,0.262968,0.0511941873,4.42799807,0.0694772676,-75.572403
264,0.263969,0.0476951897,4.42346621,0.0694055632,-43.6068802
265,0.264980,0.0499917194,4.41645479,0.0723740384,-70.7081757
266,0.265969,0.0489312261,4.41222811,0.0739157349,-40.8001175
267,0.266968,0.0507347286,4.40540743,0.0785605833,-69.0744934
268,0.267969,0.0477298088,4.39702272,0.0764141604,-85.3894119
269,0.268968,0.0522185303,4.39196062,0.0759496391,-49.2715034
270,0.269969,0.051476106,4.38464022,0.078780666,-73.9626694
271,0.270968,0.0483315885,4.3802228,0.0772822797,-42.6780319
272,0.271969,0.0486129262,4.37328768,0.0786603317,-70.1580963
273,0.272968,0.0448302031,4.36483049,0.0806623027,-86.014679
274,0.273969,0.0520749949,4.35973024,0.0849857852,-49.6322975
275,0.274975,0.0486125983,4.35238314,0.0855663046,-74.1708527
276,0.275967,0.0519758649,4.34795046,0.0831051543,-42.7981567
277,0.276980,0.0496731512,4.34100771,0.0843911469,-70.2274094
278,0.277969,0.0504106954,4.30851412,0.087172702,-342.177246
279,0.278968,0.0509193763,4.28465319,0.0903164372,-242.919037
280,0.279965,0.0472759902,4.27026033,0.0935767218,-140.169449
281,0.280969,0.0438538417,4.25730944,0.0962659568,-126.370361
282,0.281965,0.0480121635,4.24949694,0.0917365476,-72.9183807
283,0.282969,0.05013391,4.24052095,0.0999520272,-87.5509491
284,0.283965,0.0480121225,4.23083925,0.0990169197,-96.0083618
285,0.284969,0.0482031889,4.22499895,0.102393471,-55.3988647
286,0.285965,0.0475493781,4.21720934,0.106803283,-77.4559326
287,0.286981,0.0469511412,4.20824099,0.10858582,-90.1692047
288,0.287966,0.0489380769,4.19856691,0.107868157,-97.5191498
289,0.288980,0.0474142395,4.1884656,0.111359484,-101.760231
290,0.289969,0.0527928062,4.17810488,0.111362427,-104.193306
291,0.290968,0.0507313348,4.16758776,0.11523439,-105.611359
292,0.291969,0.0504012927,4.16124392,0.113237381,-60.9399986
293,0.292968,0.0508645475,4.15314913,0.114877023,-80.6532822
294,0.293969,0.0437033176,4.14399767,0.116998754,-92.0141449
295,0.294968,0.0490728356,4.13421679,0.117710412,-98.583725
296,0.295969,0.0495370738,4.12404299,0.11950741,-102.374512
297,0.296968,0.0490727797,4.11364412,0.122481428,-104.54776
298,0.297969,0.0472833924,4.10310411,0.120926626,-105.815887
299,0.298976,0.0484764241,4.09247637,0.124701887,-106.547623
300,0.299969,0.0496688075,4.08179903,0.125116676,-106.955734
301,0.300979,0.0489418358,4.07109499,0.126534715,-107.205338
302,0.301969,0.0523299053,4.06036806,0.127601832,-107.335251
303,0.302968,0.047285676,4.0496335,0.129638985,-107.424332
304,0.303969,0.0502100326,4.03889132,0.132640347,-107.475731
305,0.304968,0.0521265417,4.0281415,0.134281382,-107.491272
306,0.305969,0.0486063883,4.01739168,0.134728104,-107.514359
307,0.306982,0.0495386086,4.00663805,0.137858808,-107.527679
308,0.307981,0.0535267778,3.99589205,0.138369456,-107.52124
309,0.308969,0.0435100757,3.9851346,0.138399631,-107.531647
310,0.309968,0.0478832908,3.97438097,0.139822766,-107.537659
311,0.310969,0.0460157953,3.96363115,0.143998265,-107.527008
312,0.311968,0.0509406142,3.95287752,0.143700212,-107.534973
313,0.312979,0.048478093,3.94212389,0.144038931,-107.539574
314,0.313969,0.0502596237,3.93137026,0.145479307,-107.528107
315,0.314968,0.0458880328,3.92061663,0.147792265,-107.535614
316,0.315969,0.0477592908,3.909863,0.150142327,-107.539948
317,0.316968,0.0515372045,3.89910936,0.148302287,-107.52832
318,0.317969,0.0510694943,3.88835573,0.148121849,-107.535736
319,0.318968,0.0457631052,3.87333345,0.148524463,-153.015503
320,0.319969,0.0511943474,3.86427736,0.150156766,-88.2931976
321,0.320968,0.0476385541,3.85454226,0.153082743,-96.4366608
322,0.321969,0.0451714173,3.84013796,0.15977712,-146.611099
323,0.322965,0.0520096347,3.82718325,0.156961709,-130.087326
324,0.323980,0.0474178009,3.8151021,0.158835366,-120.538635
325,0.324969,0.0488267168,3.80354738,0.159706384,-115.042961
326,0.325969,0.050480485,3.79230928,0.159102574,-111.871841
327,0.326965,0.0498894528,3.78126574,0.160968766,-110.027924
328,0.327969,0.0486007445,3.77033663,0.160744831,-108.978058
329,0.328965,0.0506026708,3.75947618,0.16332157,-108.372269
330,0.329969,0.0502413809,3.7486577,0.162108645,-108.008591
331,0.330965,0.0477688722,3.73786592,0.165893152,-107.812859
332,0.331969,0.0488312393,3.72282457,0.165751547,-153.1754
333,0.332965,0.051545497,3.70948458,0.164947525,-133.875061
334,0.333968,0.0464718714,3.69717073,0.168981761,-122.724243
335,0.334982,0.0465938523,3.68547487,0.17248337,-116.304108
336,0.335965,0.0510752089,3.67415285,0.173016027,-112.599548
