Index,Time,encoder_angle,ref_angle,diff_angle
2485,24.859633,0.369445562,0.362019479,-0.007426083
2486,24.869649,0.3656528,0.363553464,-0.002099335
2487,24.879635,0.3656528,0.363553464,-0.002099335
2488,24.889647,0.363983393,0.36508745,0.001104057
2489,24.899648,0.364213228,0.366621405,0.002408177
2490,24.909635,0.364351749,0.36815539,0.003803641
2491,24.919635,0.365053415,0.369689375,0.00463596
2492,24.929646,0.366095066,0.37122336,0.005128294
2493,24.939649,0.366095066,0.37122336,0.005128294
2494,24.949647,0.367341757,0.372757345,0.005415589
2495,24.959649,0.36871171,0.374291331,0.005579621
2496,24.969637,0.370156527,0.375825316,0.005668789
2497,24.97965,0.371646166,0.377359271,0.005713105
2498,24.989648,0.373162985,0.378893256,0.005730271
2499,24.999637,0.373162985,0.378893256,0.005730271
2500,25.009646,0.374696016,0.380427241,0.005731225
2501,25.019646,0.376239061,0.381961226,0.005722165
2502,25.029635,0.377788067,0.383495212,0.005707145
2503,25.039648,0.378722191,0.385029197,0.006307006
2504,25.049636,0.379903793,0.386563182,0.006659389
2505,25.059635,0.379903793,0.386563182,0.006659389
2506,25.06965,0.381234884,0.388097137,0.006862253
2507,25.079648,0.382655859,0.389631122,0.006975263
2508,25.089649,0.384131432,0.391165107,0.007033676
2509,25.099828,0.385639429,0.392699093,0.007059664
2510,25.109648,0.387167454,0.394233078,0.007065624
2511,25.119633,0.387167454,0.394233078,0.007065624
2512,25.129649,0.388707161,0.395767063,0.007059902
2513,25.139646,0.390254259,0.397301048,0.007046789
2514,25.149647,0.391840219,0.398835003,0.006994784
2515,25.159637,0.394028425,0.400368989,0.006340563
2516,25.169645,0.395964146,0.401902974,0.005938828
2517,25.179647,0.395964146,0.401902974,0.005938828
2518,25.189649,0.397747517,0.403436959,0.005689442
2519,25.199639,0.398823023,0.404970944,0.006147921
2520,25.209647,0.400087595,0.406504929,0.006417334
2521,25.219633,0.401466131,0.408038914,0.006572783
2522,25.229689,0.402913332,0.40957287,0.006659538
2523,25.239649,0.402913332,0.40957287,0.006659538
2524,25.249646,0.404402018,0.411106855,0.006704837
2525,25.259637,0.405915737,0.41264084,0.006725103
2526,25.26965,0.408060312,0.414174825,0.006114513
2527,25.279646,0.409353971,0.41570881,0.006354839
2528,25.289756,0.410749912,0.417242795,0.006492883
2529,25.299649,0.410749912,0.417242795,0.006492883
2530,25.309634,0.412207603,0.41877678,0.006569177
2531,25.319637,0.413702726,0.420310736,0.006608009
2532,25.329649,0.415220261,0.421844721,0.00662446
2533,25.339633,0.416751385,0.423378706,0.006627321
2534,25.34965,0.418290615,0.424912691,0.006622076
2535,25.359633,0.418290615,0.424912691,0.006622076
2536,25.369639,0.419834852,0.426446676,0.006611824
2537,25.379636,0.421382189,0.427980661,0.006598473
2538,25.389647,0.423547029,0.429514647,0.005967617
2539,25.399635,0.425468445,0.431048602,0.005580157
2540,25.409647,0.427243233,0.432582587,0.005339354
2541,25.419745,0.427243233,0.432582587,0.005339354
2542,25.429634,0.428929567,0.434116572,0.005187005
2543,25.439635,0.429946661,0.435650557,0.005703896
2544,25.449646,0.431175947,0.437184542,0.006008595
2545,25.459635,0.432533026,0.438718528,0.006185502
2546,25.469651,0.43396759,0.440252513,0.006284922
2547,25.479648,0.43396759,0.440252513,0.006284922
2548,25.489647,0.435448647,0.441786468,0.006337821
2549,25.499688,0.436957598,0.443320453,0.006362855
2550,25.509648,0.439099312,0.444854438,0.005755126
2551,25.519776,0.441006899,0.446388423,0.005381525
2552,25.529649,0.451394796,0.447922409,-0.003472388
2553,25.53965,0.451394796,0.447922409,-0.003472388
2554,25.54972,0.449654579,0.449456394,-0.000198185
2555,25.559633,0.457842112,0.450990379,-0.006851733
2556,25.569648,0.454774857,0.452524334,-0.002250522
2557,25.579646,0.462162018,0.454058319,-0.008103698
2558,25.589635,0.458611965,0.455592304,-0.003019661
2559,25.599649,0.458611965,0.455592304,-0.003019661
2560,25.609646,0.457086563,0.45712629,3.97E-05
2561,25.619648,0.456782579,0.458660275,0.001877695
2562,25.629633,0.465836287,0.46019426,-0.005642027
2563,25.639633,0.463291407,0.461728215,-0.001563191
2564,25.649648,0.462372303,0.4632622,0.000889897
2565,25.659649,0.462372303,0.4632622,0.000889897
2566,25.669636,0.462433815,0.464796185,0.00236237
2567,25.679637,0.463086605,0.466330171,0.003243566
2568,25.68965,0.464096069,0.467864156,0.003768086
2569,25.699688,0.465320826,0.469398141,0.004077315
2570,25.709633,0.466675282,0.470932126,0.004256845
2571,25.719647,0.466675282,0.470932126,0.004256845
2572,25.729633,0.468724012,0.472466081,0.003742069
2573,25.739646,0.470575571,0.474000067,0.003424495
2574,25.749648,0.47230792,0.475534052,0.003226131
2575,25.759663,0.473968744,0.477068037,0.003099293
2576,25.769745,0.474970341,0.478602022,0.003631681
2577,25.77965,0.474970341,0.478602022,0.003631681
2578,25.78965,0.476190329,0.480136007,0.003945678
2579,25.799807,0.477541924,0.481669992,0.004128069
2580,25.809633,0.478972912,0.483203948,0.004231036
2581,25.819648,0.480451822,0.484737933,0.00428611
2582,25.829781,0.48195982,0.486271918,0.004312098
2583,25.83965,0.48195982,0.486271918,0.004312098
2584,25.849649,0.483484983,0.487805903,0.00432092
2585,25.859697,0.485020876,0.489339888,0.004319012
2586,25.869637,0.486562967,0.490873873,0.004310906
2587,25.879647,0.488108873,0.492407858,0.004298985
2588,25.889712,0.489657164,0.493941814,0.00428465
2589,25.899648,0.489657164,0.493941814,0.00428465
2590,25.909648,0.491206884,0.495475799,0.004268914
2591,25.919636,0.49275732,0.497009784,0.004252464
2592,25.929643,0.494308233,0.498543769,0.004235536
2593,25.939647,0.495859385,0.500077724,0.00421834
2594,25.949636,0.497410774,0.50161171,0.004200935
2595,25.959649,0.497410774,0.50161171,0.004200935
2596,25.96965,0.498962402,0.503145695,0.004183292
2597,25.979704,0.50051403,0.50467968,0.004165649
2598,25.989646,0.502065659,0.506213665,0.004148006
2599,25.999636,0.503617287,0.50774765,0.004130363
2600,26.009648,0.504553318,0.509281635,0.004728317
2601,26.019792,0.504553318,0.509281635,0.004728317
2602,26.029648,0.505733728,0.51081562,0.005081892
2603,26.039648,0.507677078,0.512349606,0.004672527
2604,26.049633,0.508849382,0.513883591,0.005034208
2605,26.059649,0.510172129,0.515417576,0.005245447
2606,26.06965,0.511585951,0.516951561,0.00536561
2607,26.079662,0.511585951,0.516951561,0.00536561
2608,26.089633,0.512438536,0.518485546,0.00604701
2609,26.099649,0.51356864,0.520019531,0.006450891
2610,26.109634,0.514866114,0.521553457,0.006687343
2611,26.119649,0.516264439,0.523087442,0.006823003
2612,26.129649,0.51772356,0.524621427,0.006897867
2613,26.139647,0.51772356,0.524621427,0.006897867
2614,26.149636,0.519219637,0.526155412,0.006935775
2615,26.159648,0.520737648,0.527689397,0.006951749
2616,26.16965,0.522269011,0.529223382,0.006954372
2617,26.179648,0.523192644,0.530757368,0.007564723
2618,26.189636,0.524365664,0.532291353,0.007925689
2619,26.199678,0.524365664,0.532291353,0.007925689
2620,26.209633,0.526304722,0.533825338,0.007520616
2621,26.219635,0.52809,0.535359323,0.007269323
2622,26.229637,0.529166937,0.536893308,0.007726371
2623,26.239647,0.530432224,0.538427293,0.007995069
2624,26.24965,0.531811237,0.539961278,0.008150041
2625,26.259636,0.531811237,0.539961278,0.008150041
2626,26.269647,0.533258677,0.541495204,0.008236527
2627,26.279716,0.534747601,0.543029189,0.008281589
2628,26.289636,0.53626132,0.544563174,0.008301854
2629,26.299635,0.537790298,0.546097159,0.008306861
2630,26.309649,0.539328337,0.547631145,0.008302808
2631,26.319646,0.539328337,0.547631145,0.008302808
2632,26.329636,0.54087162,0.54916513,0.008293509
2633,26.33965,0.542418242,0.550699115,0.008280873
2634,26.349646,0.543967009,0.5522331,0.008266091
2635,26.359785,0.545516968,0.553767085,0.008250117
2636,26.369636,0.547067642,0.55530107,0.008233428
2637,26.379647,0.547067642,0.55530107,0.008233428
2638,26.389635,0.551697731,0.556835055,0.005137324
2639,26.399647,0.55141139,0.55836904,0.00695765
2640,26.40965,0.555549383,0.559903026,0.004353642
2641,26.419646,0.554965973,0.561437011,0.006471038
2642,26.429653,0.558924913,0.562970936,0.004046023
2643,26.439634,0.558924913,0.562970936,0.004046023
2644,26.449649,0.558233738,0.564504921,0.006271183
2645,26.459747,0.558432579,0.566038907,0.007606328
2646,26.46965,0.559168339,0.567572892,0.008404553
2647,26.479649,0.560227871,0.569106877,0.008879006
2648,26.489649,0.561482668,0.570640862,0.009158194
2649,26.499641,0.561482668,0.570640862,0.009158194
2650,26.509636,0.562855482,0.572174847,0.009319365
2651,26.51965,0.564299345,0.573708832,0.009409487
2652,26.529634,0.565785885,0.575242817,0.009456933
2653,26.539632,0.567298412,0.576776803,0.00947839
2654,26.549647,0.568826437,0.578310788,0.009484351
2655,26.55965,0.568826437,0.578310788,0.009484351
2656,26.569649,0.57036376,0.579844773,0.009481013
2657,26.579646,0.571906805,0.581378758,0.009471953
2658,26.589637,0.573453426,0.582912743,0.009459317
2659,26.599636,0.575001955,0.584446669,0.009444714
2660,26.609646,0.576551676,0.585980654,0.009428978
2661,26.619634,0.576551676,0.585980654,0.009428978
2662,26.62965,0.57810235,0.587514639,0.009412289
2663,26.639648,0.579653502,0.589048624,0.009395123
2664,26.649633,0.581204891,0.590582609,0.009377718
2665,26.659636,0.582756281,0.592116594,0.009360313
2666,26.669646,0.583692074,0.593650579,0.009958506
2667,26.679705,0.583692074,0.593650579,0.009958506
2668,26.689648,0.585488081,0.595184565,0.009696484
2669,26.699649,0.58718729,0.59671855,0.00953126
2670,26.709746,0.588827848,0.598252535,0.009424686
2671,26.719647,0.590433121,0.59978652,0.009353399
2672,26.729649,0.592017174,0.601320505,0.009303331
2673,26.739638,0.592017174,0.601320505,0.009303331
2674,26.749647,0.593588591,0.60285449,0.0092659
2675,26.759647,0.59515214,0.604388475,0.009236336
2676,26.769648,0.59671092,0.605922401,0.009211481
2677,26.779633,0.59826684,0.607456386,0.009189546
2678,26.789648,0.599821091,0.608990371,0.009169281
2679,26.79965,0.599821091,0.608990371,0.009169281
2680,26.809641,0.601374388,0.610524356,0.009149969
2681,26.819648,0.60292697,0.612058342,0.009131372
2682,26.829648,0.604479313,0.613592327,0.009113014
2683,26.839634,0.606031418,0.615126312,0.009094894
2684,26.84965,0.607583523,0.616660297,0.009076774
2685,26.859659,0.607583523,0.616660297,0.009076774
2686,26.869633,0.609751225,0.618194282,0.008443058
2687,26.879637,0.611674309,0.619728267,0.008053958
2688,26.889649,0.61345005,0.621262252,0.007812202
2689,26.899706,0.6151371,0.622796237,0.007659137
2690,26.909647,0.616770267,0.624330223,0.007559955
2691,26.919647,0.616770267,0.624330223,0.007559955
2692,26.92972,0.618371248,0.625864208,0.00749296
2693,26.939649,0.619952679,0.627398133,0.007445455
2694,26.949646,0.621522188,0.628932118,0.00740993
2695,26.959633,0.623084784,0.630466104,0.00738132
2696,26.969646,0.624642849,0.632000089,0.00735724
2697,26.979649,0.624642849,0.632000089,0.00735724
2698,26.989655,0.62619853,0.633534074,0.007335544
2699,26.999649,0.627752781,0.635068059,0.007315278
2700,27.009647,0.629921675,0.636602044,0.006680369
2701,27.019636,0.631229877,0.638136029,0.006906152
2702,27.029646,0.63263464,0.639670014,0.007035375
2703,27.039651,0.63263464,0.639670014,0.007035375
2704,27.049732,0.634097815,0.641204,0.007106185
2705,27.059651,0.635596275,0.642737985,0.007141709
2706,27.069648,0.637731552,0.64427197,0.006540418
2707,27.079636,0.639635324,0.645805955,0.00617063
2708,27.089633,0.640783548,0.64733994,0.006556392
2709,27.099646,0.640783548,0.64733994,0.006556392
2710,27.109633,0.64209199,0.648873866,0.006781876
2711,27.11965,0.643496752,0.650407851,0.006911099
2712,27.129649,0.645575762,0.651941836,0.006366074
2713,27.139638,0.646829844,0.653475821,0.006645978
2714,27.149634,0.648817778,0.655009806,0.006192029
2715,27.159646,0.648817778,0.655009806,0.006192029
2716,27.169632,0.65063262,0.656543791,0.005911171
2717,27.179634,0.652343035,0.658077776,0.005734742
2718,27.18965,0.653374672,0.659611762,0.00623709
2719,27.199633,0.654612541,0.661145747,0.006533206
2720,27.209651,0.655975103,0.662679732,0.006704628
2721,27.219648,0.655975103,0.662679732,0.006704628
2722,27.229646,0.656181097,0.664213717,0.00803262
2723,27.239647,0.658768654,0.665747702,0.006979048
2724,27.249651,0.659097672,0.667281687,0.008184016
2725,27.259636,0.661759377,0.668815613,0.007056236
2726,27.269648,0.661517143,0.670349598,0.008832455
2727,27.279647,0.661517143,0.670349598,0.008832455
2728,27.289818,0.664450169,0.671883583,0.007433414
2729,27.29965,0.664371967,0.673417568,0.009045601
2730,27.309648,0.667403698,0.674951553,0.007547855
2731,27.319637,0.667384863,0.676485538,0.009100676
2732,27.329647,0.66983676,0.678019524,0.008182764
2733,27.339689,0.66983676,0.678019524,0.008182764
2734,27.349635,0.671931505,0.679553509,0.007622004
2735,27.359648,0.67381072,0.681087494,0.007276773
2736,27.369648,0.674944162,0.682621479,0.007677317
2737,27.379637,0.676243544,0.684155464,0.007911921
2738,27.38965,0.677643061,0.685689449,0.008046389
2739,27.399649,0.677643061,0.685689449,0.008046389
2740,27.409637,0.679102898,0.687223434,0.008120537
2741,27.419635,0.680599451,0.68875742,0.008157969
2742,27.429648,0.682117701,0.690291345,0.008173645
2743,27.439635,0.683649302,0.69182533,0.008176029
2744,27.449647,0.685189009,0.693359315,0.008170307
