Index,Time,mtr.state.i_dq.v1,mtr.state.i_dq.v2,mtr.state.pos_spd_e.v1,mtr.reference.u_dq.v1,mtr.reference.u_dq.v2
1594,7.974080,-0.23093693,-0.52304548,4.59510946,-2.16378808,0.435981035
1595,7.979094,-0.638677418,-1.02948952,3.2526927,-4.11220312,-4.05254459
1596,7.984080,-1.3674618,0.352818459,0.268836498,4.97518682,-2.92930865
1597,7.989097,0.0928121805,0.246919438,5.16414928,0.722870231,-0.406079531
1598,7.994093,1.11120498,-0.291193873,5.17481518,-3.35183001,-4.42661572
1599,7.999093,-0.700545728,-0.819500804,3.80233479,-5.77350235,-0
1600,8.004097,-1.42472959,0.324341804,0.0392160416,4.88383913,-3.07919598
1601,8.009080,-0.078723073,-0.0942924023,4.69424009,-0.269025803,0.616815329
1602,8.014095,0.0731489658,-0.205971792,4.88483572,-0.838388562,-0.147578239
1603,8.019083,-0.19254075,-0.0471440963,4.94568682,0.169049203,0.835983872
1604,8.024095,-0.00796001777,0.535301745,5.07885408,2.03189087,-0.749539256
1605,8.029083,0.683803916,0.685013771,5.30562639,0.442276955,-4.28774357
1606,8.034095,-0.306958675,-1.03280342,4.3257184,-5.77350235,-0
1607,8.039081,-1.4637121,0.0979355052,0.731943607,3.63425422,-4.48614836
1608,8.044081,0.622512043,-0.0228853431,4.64833403,-0.360332102,-1.45770884
1609,8.049093,0.139415443,-0.157114103,4.74336815,-0.599945307,-0.449927568
1610,8.054081,-0.0273359697,-0.236228466,4.80637646,-0.810866416,0.178608298
1611,8.059095,-0.0261309706,0.191828683,4.64286327,0.758225441,0.101393461
1612,8.064084,0.219252899,0.0322108641,4.61531925,0.0899340063,-0.917854607
1613,8.069082,0.018831851,-0.366485119,4.47022915,-1.36277413,-0.438614607
1614,8.074096,0.00171354041,-0.590651214,3.68799996,-1.91016865,-2.69343495
1615,8.079079,-1.03910625,-0.579026163,1.87113595,0.345461607,-4.57860804
1616,8.084096,-0.911438286,1.06106019,5.88726711,5.44667196,-1.91496658
1617,8.089082,0.771694124,0.566326737,5.26553631,-0.19751361,-4.69498396
1618,8.094093,-0.429667324,-1.03421569,4.09434032,-5.77350235,-0
1619,8.099094,-1.4234159,0.140882686,0.498064995,4.35118103,-3.79480648
1620,8.104097,0.596744537,-0.00498547032,4.63955736,-0.00144368433,-2.05869746
1621,8.109079,0.209156275,-0.208883286,4.75988054,-0.843895137,-0.720915377
1622,8.114083,-0.103242457,-0.270771325,4.73563433,-0.951943338,0.408060312
1623,8.119096,0.0342693776,0.201557949,4.42495012,0.771415532,0.044993639
1624,8.124083,-0.015196275,0.088297464,4.38293886,0.321669161,0.223555326
1625,8.129096,0.13668485,-0.115065865,4.45393801,-0.306735009,-0.711398065
1626,8.134079,0.0800607502,-0.0282497704,4.33142138,-0.0320278183,-0.888762474
1627,8.139096,-0.00195888337,-0.0922046304,3.8615613,-0.301236093,-0.419457436
1628,8.144079,-0.0692845434,-0.38340047,3.03944063,-0.422663271,-1.80425644
1629,8.149095,-0.371834904,-0.552375317,1.80585909,1.52626038,-2.22388291
1630,8.154094,-0.717224658,-0.110328525,0.386089802,2.78068376,-0.759645224
1631,8.159081,-0.982898235,-0.495834947,6.09803963,3.35476756,3.67176914
1632,8.164097,-1.09540427,-0.947263658,0.716465473,5.75441742,0.469055086
