Index,Time,mtr.state.i_dq.v1,mtr.state.i_dq.v2,mtr.state.pos_spd_e.v1,mtr.state.pos_spd_e.v2
11341,11.340983,0.0499721691,0.00429590046,4.60193729,-4.06551152e-07
11342,11.341982,0.0477036126,0.00263,4.60193729,-4.88034182e-08
11343,11.342983,0.0483204834,-0.0029651667,4.60193729,-5.85848436e-09
11344,11.343982,0.0487774611,-0.00391721772,4.5914526,-9.42686272
11345,11.344984,0.0463477634,-0.000949195819,4.59122944,-1.13162422
11346,11.345982,0.0475556292,0.000802285736,4.59122562,-0.135843009
11347,11.346984,0.0480120741,-0.00015860633,4.59122562,-0.0163069349
11348,11.347983,0.0460388064,0.00184833026,4.59122562,-0.00195752527
11349,11.348984,0.0496763922,0.000631980132,4.59122562,-0.000234986233
11350,11.350187,0.0531525053,0.0040497845,4.59122562,-2.82083347e-05
11351,11.350998,0.0515021719,-0.00321159256,4.59122562,-3.38619907e-06
11352,11.351998,0.0651396215,-0.0061552031,4.59122562,-4.064878e-07
11353,11.352982,0.0489249639,-0.00208039163,4.59122562,-4.87958118e-08
11354,11.353983,0.0510461368,-0.0022413563,4.58073902,-9.42686272
11355,11.354982,0.0477178171,-0.00382295437,4.58051777,-1.13162422
11356,11.355983,0.0505895242,-0.00128034432,4.58051205,-0.135843009
11357,11.356982,0.049676273,0.000641269144,4.58051205,-0.0163069349
11358,11.357983,0.0486006849,0.00719700567,4.58051205,-0.00195752527
11359,11.358982,0.0507366695,0.000556314364,4.58051205,-0.000234986233
11360,11.359983,0.0507366695,0.000556314364,4.58051205,-2.82083347e-05
11361,11.360982,0.054683961,-0.00345682399,4.58051205,-3.38619907e-06
11362,11.361983,0.0496914573,-0.00582952052,4.58051205,-4.064878e-07
11363,11.362982,0.0486158803,0.000726223458,4.58051205,-4.87958118e-08
11364,11.363982,0.0525783561,-0.00975770131,4.58051205,-5.85757132e-09
11365,11.364998,0.0505895242,-0.00128034432,4.58051205,-7.03157532e-10
11366,11.365981,0.0461856052,0.00369359716,4.58051205,-8.44087925e-11
11367,11.366982,0.0508838147,0.00239297468,4.58051205,-1.0132643e-11
11368,11.367986,0.049072504,-0.000234585023,4.58051205,-1.21634788e-12
11369,11.368982,0.0499697737,0.0043237335,4.57002354,-9.42833138
11370,11.369986,0.0478653312,-0.00197734218,4.56980228,-1.13180053
11371,11.370982,0.0502797589,0.00152652618,4.56979656,-0.135864168
11372,11.371986,0.051666569,-0.00782642514,4.56979656,-0.0163094755
11373,11.372981,0.048305735,0.00353272492,4.56979656,-0.00195783027
